arm_id,regra_derivada,position_id,repetition,planned_calls,executed_attempts,valid_decisions,failed_units,retry_attempts,cost_status,cost_total_usd,cost_per_binary_decision_usd,cost_mean_usd,cost_median_usd,cost_per_call_usd,latency_min_ms,latency_median_ms,latency_p95_ms,latency_max_ms,input_tokens,output_tokens,total_tokens,cache_tokens,reasoning_tokens,projected_cost_100_usd,projected_cost_1000_usd,projected_cost_10000_usd,paired_cost_reference,paired_cost_difference_total_usd,custo_projetado_C1_mais_C2,latencia_projetada_sequencial,latencia_projetada_paralela
MCPTox,C1,local-qwen2-5-coder-7b,R1,30,30,22,0,0,accounted_by_budget_reservation,0.000000,0.000000,0.000000,0.000000,0.000000,9881,10608,12979,14233,NA,NA,NA,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA
MCPTox,C1,local-qwen2-5-coder-7b,R2,30,30,22,0,0,accounted_by_budget_reservation,0.000000,0.000000,0.000000,0.000000,0.000000,9872,10569,13381,17568,NA,NA,NA,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA
MCPTox,C1,local-qwen3-8b,R1,30,30,30,0,0,accounted_by_budget_reservation,0.000000,0.000000,0.000000,0.000000,0.000000,12789,13290,14901,15009,NA,NA,NA,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA
MCPTox,C1,local-qwen3-8b,R2,30,30,30,0,0,accounted_by_budget_reservation,0.000000,0.000000,0.000000,0.000000,0.000000,12693,13159,19057,22665,NA,NA,NA,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA
MCPTox,C1,remote-gpt-5-6-luna-openai,R1,30,30,26,0,0,complete,0.007685,0.000296,0.000256,0.000234,0.000256,1610,2204,4099,5118,20024,3067,23091,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.025617,0.256173,2.561733,NA,NA,NA,NA,NA
MCPTox,C1,remote-gpt-5-6-luna-openai,R2,30,30,30,0,0,complete,0.007858,0.000262,0.000262,0.000235,0.000262,1560,1977,3620,7204,20024,3211,23235,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.026193,0.261933,2.619333,NA,NA,NA,NA,NA
MCPTox,C1,remote-gpt-oss-20b-groq,R1,30,31,30,0,1,accounted_by_budget_reservation,0.018345,0.000611,0.000592,0.000073,0.000592,227,577,1012,1575,NA,NA,NA,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.061150,0.611498,6.114983,NA,NA,NA,NA,NA
MCPTox,C1,remote-gpt-oss-20b-groq,R2,30,30,30,0,0,complete,0.001960,0.000065,0.000065,0.000066,0.000065,429,633,1957,2606,22874,2671,25545,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.006534,0.065335,0.653350,NA,NA,NA,NA,NA
MCPTox,C1,remote-qwen3-8b-alibaba,R1,30,30,30,0,0,complete,0.003272,0.000109,0.000109,0.000111,0.000109,1676,2245,4434,34107,21162,1749,22911,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.010906,0.109058,1.090583,NA,NA,NA,NA,NA
MCPTox,C1,remote-qwen3-8b-alibaba,R2,30,30,30,0,0,complete,0.003266,0.000109,0.000109,0.000111,0.000109,1789,2174,2834,3127,21162,1736,22898,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.010886,0.108861,1.088611,NA,NA,NA,NA,NA
